Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
HXM,Desarrolladora Homex,12.68,421495880,n/a,2004,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/hxm
UFS,Domtar Corporation,72.38,2615740820,n/a,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/ufs
DOW,Dow Chemical Company (The),29.08,34761650400,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/dow
DRD,DRDGOLD Limited,6.14,114633800,n/a,1998,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/drd
DD,E.I. du Pont de Nemours and Company,49.71,46248841830,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/dd
DD^A,E.I. du Pont de Nemours and Company,91.19,63833000,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/dd^a
DD^B,E.I. du Pont de Nemours and Company,109.3,182858900,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/dd^b
EMN,Eastman Chemical Company,51.74,7133393800,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/emn
ECL,Ecolab Inc.,67.17,19626133620,n/a,n/a,Basic Industries,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/ecl
EDG,Edgen Group Inc.,7.47,134355420,n/a,n/a,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/edg
EGO,Eldorado Gold Corp,11.02,7839363520,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ego
ICA,Empresas Ica Soc Contrladora,7.06,87960540,n/a,1992,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/ica
EXK,Endeavour Silver Corporation,8.3,725245700,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/exk
ES,EnergySolutions Inc,1.63,145366660,n/a,2007,Basic Industries,Environmental Services,http://www.nasdaq.com/symbol/es
NPO,Enpro Industries,34.15,702943600,n/a,n/a,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/npo
EGI,Entree Gold Inc,0.63,80020710,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/egi
EMXX,Eurasian Minerals Inc.,1.75,91413000,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/emxx
XRA,Exeter Resource Corporation,1.27,112047020,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/xra
XG,Extorre Gold Mines Ltd.,4.16,403183040,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/xg
FHCO,Female Health Company (The),5.9,164733900,n/a,n/a,Basic Industries,Specialty Chemicals,http://www.nasdaq.com/symbol/fhco
FOE,Ferro Corporation,3.14,271924000,n/a,n/a,Basic Industries,Paints/Coatings,http://www.nasdaq.com/symbol/foe
FBR,Fibria Celulose S.A.,7.96,492405600,n/a,1989,Basic Industries,Paper,http://www.nasdaq.com/symbol/fbr
FSI,Flexible Solutions International Inc.,1.27,16725900,n/a,1998,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/fsi
FTK,"Flotek Industries, Inc.",10.41,514951470,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ftk
FLR,Fluor Corporation,50.58,8554039020,n/a,n/a,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/flr
FMC,FMC Corporation,55.26,7718385240,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/fmc
FSM,Fortuna Silver Mines Inc.,3.89,482149940,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/fsm
FBHS,"Fortune Brands Home & Security, Inc.",22.13,3532567640,n/a,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/fbhs
FWLT,Foster Wheeler AG.,17.75,1913609750,n/a,n/a,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/fwlt
FNV,Franco Nev Corp,49.17,6803357880,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/fnv
FCX,"Freeport-McMoran Copper & Gold, Inc.",33.47,31766912520,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/fcx
FRM,Furmanite Corporation,4.5,167629500,n/a,1993,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/frm
FSIN,"Fushi Copperweld, Inc.",8.88,340095120,n/a,n/a,Basic Industries,Telecommunications Equipment,http://www.nasdaq.com/symbol/fsin
FF,FutureFuel Corp.,9.79,404513010,n/a,1986,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ff
GFA,Gafisa SA,2.47,209389310,n/a,2007,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/gfa
