Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
DO,"Diamond Offshore Drilling, Inc.",67.19,9341291320,n/a,1995,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/do
DOM,Dominion Resources Black Warrior Trust,6.71,52673500,n/a,1994,Energy,Coal Mining,http://www.nasdaq.com/symbol/dom
DMLP,"Dorchester Minerals, L.P.",22.38,686506500,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dmlp
DBLE,Double Eagle Petroleum Company,4.04,45401520,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dble
DBLEP,Double Eagle Petroleum Company,26.45,42584500,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dblep
DRC,Dresser-Rand Group Inc.,47.28,3576117360,n/a,1980,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/drc
DRQ,"Dril-Quip, Inc.",73.58,2957180200,n/a,1997,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/drq
EROC,"Eagle Rock Energy Partners, L.P.",9.09,1222195950,n/a,2006,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/eroc
ESTE,"Earthstone Energy, Inc.",15.46,26390220,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/este
NGT,Eastern American Natural Gas Trust,21.4,126260000,n/a,1993,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ngt
ECT,ECA Marcellus Trust I,20.94,276491760,n/a,2010,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ect
EC,Ecopetrol S.A.,57.52,1767129440,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ec
ESIO,"Electro Scientific Industries, Inc.",12.64,365245440,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/esio
EMR,Emerson Electric Company,48.03,35235048150,n/a,1993,Energy,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/emr
EEQ,Enbridge Energy Management LLC,31.33,1227133440,n/a,2002,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/eeq
EEP,"Enbridge Energy, L.P.",29.5,7022298000,n/a,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/eep
ENB,Enbridge Inc,41.93,32775758540,n/a,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/enb
ECA,Encana Corporation,21.22,15624286000,n/a,1992,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/eca
END,Endeavor International Corporation,8.7,329643000,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/end
EGN,Energen Corporation,51.58,3720259080,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/egn
ENR,"Energizer Holdings, Inc.",79.74,5213959380,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/enr
EPL,"Energy Partners, Ltd.",17.51,686969830,n/a,2000,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/epl
EXXI,Energy XXI (Bermuda) Limited,33.47,2639845840,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/exxi
ERF,Enerplus Corporation,13.99,2534414410,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/erf
E,ENI S.p.A.,41.18,1223951960,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/e
ESV,ENSCO plc,54.47,12846749500,n/a,1981,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/esv
EOG,"EOG Resources, Inc.",101.01,27231689940,n/a,1989,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/eog
EQU,Equal Energy Ltd.,3.17,110249430,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/equ
EVEP,"EV Energy Partners, L.P.",55.72,2142266840,n/a,2006,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/evep
EPM,"Evolution Petroleum Corporation, Inc.",8.53,237279010,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/epm
XCO,EXCO Resources NL,7.01,1518765570,n/a,2006,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/xco
XIDE,Exide Technologies,3.06,239549040,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/xide
XOM,Exxon Mobil Corporation,87.45,4.08916E+11,n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/xom
FPP,FieldPoint Petroleum Corporation,4.1,32841000,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/fpp
FTI,"FMC Technologies, Inc.",46.85,11202209800,n/a,n/a,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/fti
FES,Forbes Energy Services Ltd,4.47,94464510,n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/fes
FST,Forest Oil Corporation,6.53,769031570,n/a,1987,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/fst
FET,"Forum Energy Technologies, Inc.",20.43,1736631720,n/a,n/a,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/fet
FCEL,"FuelCell Energy, Inc.",1.06,197077320,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/fcel
FXEN,"FX Energy, Inc.",7,370482000,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/fxen
GSX,GASCO ENERGY INC,0.1657,28086150,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gsx
GST,Gastar Exploration,1.96,128858240,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gst
GE,General Electric Company,20.92,2.21654E+11,n/a,n/a,Energy,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/ge
GEL,"Genesis Energy, L.P.",31.08,2468529000,n/a,1996,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/gel
GGR,GeoGlobal Resources Inc.,0.24,32277600,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ggr
GOK,"Geokinetics, Inc.",0.3,5706600,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gok
GMET,"GeoMet, Inc.",0.3189,12778641.9,n/a,1984,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gmet
GMETP,"GeoMet, Inc.",3.92,19560800,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gmetp
