,Name,Ticker,Industry,Sector,Market Cap,Strike,Option Price,Exp. Date,Option Volume,Stock Price,Ex. Div Date,Num Divs.,Div/share,Div Inc,Gain/Loss Exercise,Total Income,Return,Annual Return
5,Tupperware Corporation,TUP,Plastic Products,Consumer Non-Durables,3808020301.25,75.0,0.5,4 - 2013,7,68.870000000000005,12 - 17,1.0,0.0144,0.0144,6.1299999999999955,0.51439999999999997,0.0074691447655002166,0.029876579062000867
6,Tupperware Corporation,TUP,Plastic Products,Consumer Non-Durables,3808020301.25,80.0,0.080000000000000002,4 - 2013,4,68.870000000000005,12 - 17,1.0,0.0144,0.0144,11.129999999999995,0.094399999999999998,0.0013706984173079714,0.0054827936692318857
4,Tupperware Corporation,TUP,Plastic Products,Consumer Non-Durables,3808020301.25,60.0,8.6899999999999995,7 - 2013,1.0,68.870000000000005,12 - 17,1.0,0.0144,0.0144,-8.8700000000000045,-0.16560000000000485,-0.0024045302744301559,-0.0048090605488603118
5,Tupperware Corporation,TUP,Plastic Products,Consumer Non-Durables,3808020301.25,65.0,4.8300000000000001,7 - 2013,2.0,68.870000000000005,12 - 17,1.0,0.0144,0.0144,-3.8700000000000045,0.97439999999999571,0.014148395527805948,0.028296791055611895
6,Tupperware Corporation,TUP,Plastic Products,Consumer Non-Durables,3808020301.25,70.0,3.1499999999999999,7 - 2013,2.0,68.870000000000005,12 - 17,1.0,0.0144,0.0144,1.1299999999999955,3.1644000000000001,0.045947437200522724,0.091894874401045448
7,Tupperware Corporation,TUP,Plastic Products,Consumer Non-Durables,3808020301.25,75.0,1.3999999999999999,7 - 2013,3.0,68.870000000000005,12 - 17,1.0,0.0144,0.0144,6.1299999999999955,1.4143999999999999,0.020537244083055028,0.041074488166110056
0,Turkcell Iletisim Hizmetleri AS,TKC,Telecommunications Equipment,Public Utilities,15197600000.0,12.5,4.7000000000000002,4 - 2013,2.0,17.27,5 - 14,1.0,0.0,0.0,-4.7699999999999996,-0.069999999999999396,-0.0040532715691951014,-0.016213086276780406
1,Turkcell Iletisim Hizmetleri AS,TKC,Telecommunications Equipment,Public Utilities,15197600000.0,15.0,1.0,4 - 2013,40.0,17.27,5 - 14,1.0,0.0,0.0,-2.2699999999999996,-1.2699999999999996,-0.073537927041111728,-0.29415170816444691
2,Turkcell Iletisim Hizmetleri AS,TKC,Telecommunications Equipment,Public Utilities,15197600000.0,17.5,0.55000000000000004,4 - 2013,1.0,17.27,5 - 14,1.0,0.0,0.0,0.23000000000000043,0.55000000000000004,0.03184713375796179,0.12738853503184716
0,Turkcell Iletisim Hizmetleri AS,TKC,Telecommunications Equipment,Public Utilities,15197600000.0,15.0,1.98,7 - 2013,10.0,17.27,5 - 14,1.0,0.0,0.0,-2.2699999999999996,-0.28999999999999959,-0.016792125072379826,-0.033584250144759652
1,Turkcell Iletisim Hizmetleri AS,TKC,Telecommunications Equipment,Public Utilities,15197600000.0,17.5,0.84999999999999998,7 - 2013,3.0,17.27,5 - 14,1.0,0.0,0.0,0.23000000000000043,0.84999999999999998,0.049218297625940939,0.098436595251881878
2,Turkcell Iletisim Hizmetleri AS,TKC,Telecommunications Equipment,Public Utilities,15197600000.0,20.0,0.40000000000000002,7 - 2013,10.0,17.27,5 - 14,1.0,0.0,0.0,2.7300000000000004,0.40000000000000002,0.023161551823972209,0.046323103647944418
0,Turquoise Hill Resources Ltd.,TRQ,Precious Metals,Basic Industries,8546601505.0,7.0,2.0,3 - 2013,4,8.5,None,None,None,None,-1.5,0.5,0.058823529411764705,0.3529411764705882
1,Turquoise Hill Resources Ltd.,TRQ,Precious Metals,Basic Industries,8546601505.0,8.0,0.80000000000000004,3 - 2013,5,8.5,None,None,None,None,-0.5,0.30000000000000004,0.03529411764705883,0.21176470588235297
2,Turquoise Hill Resources Ltd.,TRQ,Precious Metals,Basic Industries,8546601505.0,9.0,0.40000000000000002,3 - 2013,120,8.5,None,None,None,None,0.5,0.40000000000000002,0.047058823529411764,0.28235294117647058
3,Turquoise Hill Resources Ltd.,TRQ,Precious Metals,Basic Industries,8546601505.0,10.0,0.14999999999999999,3 - 2013,15,8.5,None,None,None,None,1.5,0.14999999999999999,0.017647058823529412,0.10588235294117647
